winner,loser,winner_wins,loser_wins,total_games,win_percentage,lose_percentage
captainfalcon,random,662,468,1130,58.58,41.42
robin,pit,454,321,775,58.58,41.42
greninja,roy,2113,1494,3607,58.58,41.42
miigunner,sora,438,310,748,58.56,41.44
ken,incineroar,1362,964,2326,58.56,41.44
bayonetta,marth,791,560,1351,58.55,41.45
incineroar,lucario,791,560,1351,58.55,41.45
kazuya,mario,2499,1770,4269,58.54,41.46
diddykong,random,384,272,656,58.54,41.46
bayonetta,yoshi,2844,2015,4859,58.53,41.47
ike,jigglypuff,2126,1507,3633,58.52,41.48
wiifittrainer,roy,1556,1103,2659,58.52,41.48
ken,chrom,536,380,916,58.52,41.48
ridley,byleth,1506,1068,2574,58.51,41.49
duckhunt,sora,603,428,1031,58.49,41.51
luigi,corrin,1345,955,2300,58.48,41.52
minmin,wolf,2778,1973,4751,58.47,41.53
pacman,inkling,2416,1716,4132,58.47,41.53
littlemac,lucina,1892,1344,3236,58.47,41.53
robin,ridley,770,547,1317,58.47,41.53
simon,bowserjr,190,135,325,58.46,41.54
yoshi,kirby,2246,1596,3842,58.46,41.54
miiswordfighter,villager,242,172,414,58.45,41.55
mrgameandwatch,pichu,913,649,1562,58.45,41.55
bayonetta,falco,2109,1500,3609,58.44,41.56
samus,sheik,703,500,1203,58.44,41.56
wiifittrainer,rosalina,478,340,818,58.44,41.56
richter,drmario,336,239,575,58.43,41.57
iceclimbers,random,201,143,344,58.43,41.57
ken,shulk,624,444,1068,58.43,41.57
villager,captainfalcon,1002,713,1715,58.43,41.57
megaman,marth,319,227,546,58.42,41.58
kingkrool,lucina,2256,1606,3862,58.42,41.58
darksamus,younglink,632,450,1082,58.41,41.59
duckhunt,donkeykong,931,663,1594,58.41,41.59
olimar,captainfalcon,633,451,1084,58.39,41.61
rob,fox,3024,2155,5179,58.39,41.61
miigunner,pikachu,658,469,1127,58.39,41.61
wiifittrainer,byleth,1473,1050,2523,58.38,41.62
donkeykong,sephiroth,2006,1430,3436,58.38,41.62
minmin,bowser,2856,2036,4892,58.38,41.62
daisy,kingkrool,425,303,728,58.38,41.62
hero,sephiroth,1594,1137,2731,58.37,41.63
villager,joker,1246,889,2135,58.36,41.64
minmin,fox,1562,1116,2678,58.33,41.67
pacman,fox,1789,1279,3068,58.31,41.69
duckhunt,peach,379,271,650,58.31,41.69
duckhunt,incineroar,688,492,1180,58.31,41.69
pikachu,lucina,2806,2007,4813,58.30,41.70
duckhunt,kazuya,713,510,1223,58.30,41.70
rob,kingkrool,3736,2673,6409,58.29,41.71
wiifittrainer,banjokazooie,1329,951,2280,58.29,41.71
steve,sonic,3917,2803,6720,58.29,41.71
duckhunt,samus,939,672,1611,58.29,41.71
ike,marth,778,557,1335,58.28,41.72
ness,wolf,5292,3789,9081,58.28,41.72
kingdedede,bowser,4275,3061,7336,58.27,41.73
duckhunt,daisy,148,106,254,58.27,41.73
metaknight,sephiroth,649,465,1114,58.26,41.74
wiifittrainer,peach,741,531,1272,58.25,41.75
drmario,fox,911,653,1564,58.25,41.75
shulk,zerosuitsamus,950,681,1631,58.25,41.75
minmin,pokemontrainer,2430,1742,4172,58.25,41.75
steve,lucas,2177,1561,3738,58.24,41.76
darksamus,joker,1603,1150,2753,58.23,41.77
miigunner,lucas,517,371,888,58.22,41.78
wario,marth,634,455,1089,58.22,41.78
jigglypuff,joker,3783,2715,6498,58.22,41.78
ike,sephiroth,1495,1073,2568,58.22,41.78
bayonetta,kingdedede,1900,1364,3264,58.21,41.79
littlemac,corrin,1168,839,2007,58.20,41.80
minmin,zerosuitsamus,1445,1038,2483,58.20,41.80
bayonetta,ness,2866,2059,4925,58.19,41.81
miigunner,metaknight,270,194,464,58.19,41.81
bowserjr,sephiroth,995,715,1710,58.19,41.81
ike,sheik,498,358,856,58.18,41.82
richter,pyra,893,642,1535,58.18,41.82
donkeykong,kirby,2124,1527,3651,58.18,41.82
yoshi,marth,1224,880,2104,58.17,41.83
miigunner,mrgameandwatch,666,479,1145,58.17,41.83
ike,toonlink,1151,828,1979,58.16,41.84
iceclimbers,ganondorf,581,418,999,58.16,41.84
richter,isabelle,435,313,748,58.16,41.84
minmin,miiswordfighter,642,462,1104,58.15,41.85
miibrawler,corrin,775,558,1333,58.14,41.86
olimar,zerosuitsamus,443,319,762,58.14,41.86
miigunner,corrin,347,250,597,58.12,41.88
mario,lucina,3146,2267,5413,58.12,41.88
pacman,lucina,1840,1326,3166,58.12,41.88
wario,lucina,1443,1040,2483,58.12,41.88
richter,piranhaplant,444,320,764,58.12,41.88
robin,sheik,466,336,802,58.10,41.90
wolf,lucina,3825,2758,6583,58.10,41.90
robin,byleth,1219,879,2098,58.10,41.90
snake,hero,2915,2102,5017,58.10,41.90
duckhunt,ness,1382,997,2379,58.09,41.91
ryu,toonlink,431,311,742,58.09,41.91
iceclimbers,metaknight,309,223,532,58.08,41.92
steve,ness,4904,3540,8444,58.08,41.92
bayonetta,metaknight,773,558,1331,58.08,41.92
kazuya,roy,2536,1831,4367,58.07,41.93
bayonetta,younglink,1314,949,2263,58.06,41.94
richter,ness,1232,890,2122,58.06,41.94
banjokazooie,mewtwo,753,544,1297,58.06,41.94
pit,marth,382,276,658,58.05,41.95
isabelle,lucario,537,388,925,58.05,41.95
kazuya,pyra,3681,2660,6341,58.05,41.95
steve,fox,2211,1598,3809,58.05,41.95
ryu,daisy,148,107,255,58.04,41.96
megaman,chrom,430,311,741,58.03,41.97
rob,ridley,2002,1448,3450,58.03,41.97
pacman,byleth,1804,1305,3109,58.03,41.97
diddykong,zerosuitsamus,1526,1104,2630,58.02,41.98
link,sheik,724,524,1248,58.01,41.99
terry,marth,1021,739,1760,58.01,41.99
simon,link,464,336,800,58.00,42.00
pacman,villager,675,489,1164,57.99,42.01
sora,marth,755,547,1302,57.99,42.01
ness,kirby,2491,1805,4296,57.98,42.02
miigunner,zerosuitsamus,505,366,871,57.98,42.02
snake,falco,3577,2593,6170,57.97,42.03
daisy,random,80,58,138,57.97,42.03
samus,sora,1438,1043,2481,57.96,42.04
steve,kazuya,3681,2670,6351,57.96,42.04
wiifittrainer,ridley,1071,777,1848,57.95,42.05
ken,metaknight,463,336,799,57.95,42.05
luigi,lucario,773,561,1334,57.95,42.05
darksamus,pichu,394,286,680,57.94,42.06
wiifittrainer,pit,478,347,825,57.94,42.06
ryu,wolf,836,607,1443,57.93,42.07
drmario,darkpit,336,244,580,57.93,42.07
samus,marth,822,597,1419,57.93,42.07
samus,random,464,337,801,57.93,42.07
palutena,pichu,1521,1105,2626,57.92,42.08
bayonetta,simon,234,170,404,57.92,42.08
donkeykong,pit,790,574,1364,57.92,42.08
hero,kirby,1457,1059,2516,57.91,42.09
rosalina,lucina,692,503,1195,57.91,42.09
villager,marth,249,181,430,57.91,42.09
luigi,bowser,4171,3033,7204,57.90,42.10
donkeykong,byleth,2815,2047,4862,57.90,42.10
richter,chrom,330,240,570,57.89,42.11
bayonetta,sora,1384,1007,2391,57.88,42.12
ness,captainfalcon,4481,3261,7742,57.88,42.12
minmin,mario,2193,1596,3789,57.88,42.12
ken,olimar,283,206,489,57.87,42.13
terry,joker,5537,4031,9568,57.87,42.13
banjokazooie,rosalina,467,340,807,57.87,42.13
daisy,jigglypuff,401,292,693,57.86,42.14
palutena,random,714,520,1234,57.86,42.14
rob,hero,2864,2086,4950,57.86,42.14
robin,pokemontrainer,1594,1161,2755,57.86,42.14
ryu,lucina,659,480,1139,57.86,42.14
kingdedede,pyra,2847,2074,4921,57.85,42.15
rob,corrin,1959,1428,3387,57.84,42.16
snake,rosalina,834,608,1442,57.84,42.16
kingdedede,wolf,3266,2382,5648,57.83,42.17
kingdedede,littlemac,2239,1633,3872,57.83,42.17
minmin,toonlink,983,717,1700,57.82,42.18
megaman,pit,255,186,441,57.82,42.18
simon,daisy,37,27,64,57.81,42.19
miiswordfighter,byleth,592,432,1024,57.81,42.19
mrgameandwatch,sheik,633,462,1095,57.81,42.19
bayonetta,chrom,770,562,1332,57.81,42.19
snake,pokemontrainer,4562,3330,7892,57.81,42.19
miiswordfighter,pit,200,146,346,57.80,42.20
snake,pacman,3104,2266,5370,57.80,42.20
olimar,mewtwo,215,157,372,57.80,42.20
ike,random,460,336,796,57.79,42.21
richter,ryu,256,187,443,57.79,42.21
iceclimbers,byleth,683,499,1182,57.78,42.22
iceclimbers,pit,197,144,341,57.77,42.23
megaman,mewtwo,435,318,753,57.77,42.23
yoshi,lucina,3350,2450,5800,57.76,42.24
toonlink,joker,2231,1632,3863,57.75,42.25
kazuya,zerosuitsamus,1665,1218,2883,57.75,42.25
snake,chrom,1483,1085,2568,57.75,42.25
pacman,sora,1432,1048,2480,57.74,42.26
mario,marth,1228,899,2127,57.73,42.27
pacman,marth,702,514,1216,57.73,42.27
metaknight,lucas,703,515,1218,57.72,42.28
diddykong,pit,614,450,1064,57.71,42.29
bowser,lucina,3366,2467,5833,57.71,42.29
luigi,mewtwo,1101,807,1908,57.70,42.30
mrgameandwatch,joker,3979,2917,6896,57.70,42.30
minmin,miigunner,697,511,1208,57.70,42.30
mrgameandwatch,lucario,727,533,1260,57.70,42.30
rob,littlemac,2983,2187,5170,57.70,42.30
samus,byleth,1848,1355,3203,57.70,42.30
metaknight,joker,1492,1094,2586,57.70,42.30
isabelle,sephiroth,911,668,1579,57.69,42.31
ken,palutena,2494,1829,4323,57.69,42.31
ganondorf,random,544,399,943,57.69,42.31
wiifittrainer,zerosuitsamus,1333,978,2311,57.68,42.32
sephiroth,lucina,1604,1177,2781,57.68,42.32
robin,ness,2239,1643,3882,57.68,42.32
duckhunt,fox,767,563,1330,57.67,42.33
richter,ridley,463,340,803,57.66,42.34
wiifittrainer,mewtwo,753,553,1306,57.66,42.34
ryu,corrin,369,271,640,57.66,42.34
snake,fox,2956,2171,5127,57.66,42.34
bayonetta,ridley,1194,877,2071,57.65,42.35
simon,villager,117,86,203,57.64,42.36
pikachu,marth,1004,738,1742,57.63,42.37
megaman,villager,321,236,557,57.63,42.37
mrgameandwatch,byleth,2245,1651,3896,57.62,42.38
wiifittrainer,younglink,1191,876,2067,57.62,42.38
olimar,joker,938,690,1628,57.62,42.38
donkeykong,ganondorf,3114,2291,5405,57.61,42.39
miigunner,younglink,526,387,913,57.61,42.39
banjokazooie,marth,545,401,946,57.61,42.39
luigi,kingkrool,2787,2051,4838,57.61,42.39
rob,pikachu,3506,2581,6087,57.60,42.40
bayonetta,cloud,3245,2389,5634,57.60,42.40
zelda,joker,3916,2883,6799,57.60,42.40
kingkrool,kirby,2017,1485,3502,57.60,42.40
kingdedede,daisy,383,282,665,57.59,42.41
inkling,kirby,1791,1319,3110,57.59,42.41
simon,littlemac,277,204,481,57.59,42.41
miibrawler,darkpit,425,313,738,57.59,42.41
snake,pyra,3838,2827,6665,57.58,42.42
rosalina,lucario,224,165,389,57.58,42.42
yoshi,joker,5847,4308,10155,57.58,42.42
steve,falco,3374,2486,5860,57.58,42.42
iceclimbers,lucario,247,182,429,57.58,42.42
samus,jigglypuff,2065,1522,3587,57.57,42.43
miiswordfighter,ridley,369,272,641,57.57,42.43
lucas,joker,3186,2349,5535,57.56,42.44
duckhunt,pit,217,160,377,57.56,42.44
snake,diddykong,2324,1714,4038,57.55,42.45
donkeykong,joker,5010,3696,8706,57.55,42.45
ken,bowser,2212,1632,3844,57.54,42.46
simon,pikachu,351,259,610,57.54,42.46
lucas,darkpit,626,462,1088,57.54,42.46
minmin,olimar,470,347,817,57.53,42.47
link,lucina,2515,1857,4372,57.53,42.47
pacman,iceclimbers,677,500,1177,57.52,42.48
richter,ganondorf,574,424,998,57.52,42.48
ike,corrin,1003,741,1744,57.51,42.49
inkling,pit,743,549,1292,57.51,42.49
banjokazooie,darkpit,659,487,1146,57.50,42.50
darksamus,sheik,207,153,360,57.50,42.50
zerosuitsamus,lucina,1908,1411,3319,57.49,42.51
duckhunt,chrom,388,287,675,57.48,42.52
ridley,sheik,465,344,809,57.48,42.52
luigi,pichu,1249,924,2173,57.48,42.52
ike,darkpit,688,509,1197,57.48,42.52
ryu,zerosuitsamus,500,370,870,57.47,42.53
richter,mewtwo,327,242,569,57.47,42.53
duckhunt,robin,539,399,938,57.46,42.54
steve,villager,951,704,1655,57.46,42.54
pacman,pit,520,385,905,57.46,42.54
ganondorf,marth,659,488,1147,57.45,42.55
inkling,sephiroth,1627,1205,2832,57.45,42.55
miibrawler,lucario,336,249,585,57.44,42.56
snake,wario,2041,1513,3554,57.43,42.57
pacman,rosalina,580,430,1010,57.43,42.57
simon,wario,178,132,310,57.42,42.58
minmin,iceclimbers,604,448,1052,57.41,42.59
palutena,sephiroth,2757,2045,4802,57.41,42.59
kingdedede,ryu,647,480,1127,57.41,42.59
diddykong,metaknight,655,486,1141,57.41,42.59
ike,villager,551,409,960,57.40,42.60
minmin,shulk,908,674,1582,57.40,42.60
bayonetta,random,357,265,622,57.40,42.60
metaknight,lucario,233,173,406,57.39,42.61
kazuya,incineroar,2831,2102,4933,57.39,42.61
ness,littlemac,3285,2441,5726,57.37,42.63
banjokazooie,joker,3488,2592,6080,57.37,42.63
sonic,kirby,1706,1268,2974,57.36,42.64
darksamus,pikachu,1025,762,1787,57.36,42.64
steve,pyra,4915,3654,8569,57.36,42.64
kazuya,cloud,4219,3137,7356,57.35,42.65
zelda,pikachu,1802,1340,3142,57.35,42.65
falco,sheik,784,583,1367,57.35,42.65
megaman,metaknight,324,241,565,57.35,42.65
robin,fox,1082,805,1887,57.34,42.66
duckhunt,wario,512,381,893,57.33,42.67
ken,miibrawler,598,445,1043,57.33,42.67
drmario,diddykong,739,550,1289,57.33,42.67
palutena,marth,1381,1028,2409,57.33,42.67
snake,younglink,2457,1829,4286,57.33,42.67
peach,chrom,407,303,710,57.32,42.68
darkpit,lucario,364,271,635,57.32,42.68
donkeykong,roy,2857,2129,4986,57.30,42.70
link,jigglypuff,2316,1726,4042,57.30,42.70
rob,duckhunt,1559,1162,2721,57.30,42.70
snake,ridley,1728,1288,3016,57.29,42.71
rob,shulk,1784,1330,3114,57.29,42.71
zelda,mrgameandwatch,2095,1562,3657,57.29,42.71
diddykong,corrin,1181,881,2062,57.27,42.73
palutena,pyra,4666,3481,8147,57.27,42.73
duckhunt,yoshi,1268,946,2214,57.27,42.73
duckhunt,darksamus,280,209,489,57.26,42.74
bowser,sheik,1057,789,1846,57.26,42.74
miiswordfighter,chrom,253,189,442,57.24,42.76
ridley,pyra,1961,1465,3426,57.24,42.76
kingdedede,inkling,2582,1929,4511,57.24,42.76
lucas,random,352,263,615,57.24,42.76
robin,chrom,571,427,998,57.21,42.79
littlemac,byleth,1789,1338,3127,57.21,42.79
miigunner,pichu,242,181,423,57.21,42.79
pacman,daisy,369,276,645,57.21,42.79
ken,falco,1401,1048,2449,57.21,42.79
wiifittrainer,diddykong,1199,897,2096,57.20,42.80
bayonetta,lucas,1394,1043,2437,57.20,42.80
olimar,kirby,310,232,542,57.20,42.80
steve,ryu,1093,818,1911,57.20,42.80
mrgameandwatch,random,478,358,836,57.18,42.82
steve,megaman,1303,976,2279,57.17,42.83
palutena,villager,1165,873,2038,57.16,42.84
pacman,pokemontrainer,2773,2078,4851,57.16,42.84
rob,pyra,4697,3520,8217,57.16,42.84
ike,kirby,1413,1059,2472,57.16,42.84
zelda,sephiroth,1493,1119,2612,57.16,42.84
snake,incineroar,2952,2214,5166,57.14,42.86
wiifittrainer,zelda,1470,1103,2573,57.13,42.87
incineroar,marth,954,716,1670,57.13,42.87
drmario,inkling,1255,942,2197,57.12,42.88
miibrawler,pit,345,259,604,57.12,42.88
banjokazooie,zerosuitsamus,1261,947,2208,57.11,42.89
zelda,lucario,723,543,1266,57.11,42.89
palutena,pikachu,3314,2489,5803,57.11,42.89
mario,sheik,832,625,1457,57.10,42.90
kazuya,falco,2818,2117,4935,57.10,42.90
rosalina,ganondorf,499,375,874,57.09,42.91
wario,fox,1630,1225,2855,57.09,42.91
olimar,rosalina,145,109,254,57.09,42.91
shulk,joker,2296,1726,4022,57.09,42.91
greninja,marth,713,536,1249,57.09,42.91
rosalina,inkling,677,509,1186,57.08,42.92
pokemontrainer,joker,6017,4524,10541,57.08,42.92
daisy,miibrawler,238,179,417,57.07,42.93
minmin,wiifittrainer,1469,1105,2574,57.07,42.93
robin,pacman,1227,923,2150,57.07,42.93
wolf,sheik,1155,869,2024,57.07,42.93
daisy,marth,202,152,354,57.06,42.94
luigi,younglink,1919,1444,3363,57.06,42.94
rob,pichu,1447,1089,2536,57.06,42.94
duckhunt,bowser,1431,1077,2508,57.06,42.94
ken,isabelle,546,411,957,57.05,42.95
ike,byleth,1723,1297,3020,57.05,42.95
pacman,zerosuitsamus,1707,1285,2992,57.05,42.95
ike,inkling,2135,1608,3743,57.04,42.96
sephiroth,marth,705,531,1236,57.04,42.96
simon,jigglypuff,231,174,405,57.04,42.96
ike,hero,1346,1014,2360,57.03,42.97
robin,luigi,1553,1170,2723,57.03,42.97
samus,corrin,1156,871,2027,57.03,42.97
ryu,lucas,576,434,1010,57.03,42.97
ken,daisy,268,202,470,57.02,42.98
pacman,isabelle,1068,805,1873,57.02,42.98
simon,diddykong,264,199,463,57.02,42.98
simon,cloud,594,448,1042,57.01,42.99
hero,sheik,578,436,1014,57.00,43.00
wiifittrainer,olimar,346,261,607,57.00,43.00
duckhunt,mrgameandwatch,973,734,1707,57.00,43.00
pikachu,joker,3972,2997,6969,57.00,43.00
hero,sora,1292,975,2267,56.99,43.01
minmin,luigi,2320,1751,4071,56.99,43.01
fox,lucina,2092,1579,3671,56.99,43.01
pacman,corrin,1028,776,1804,56.98,43.02
steve,donkeykong,3056,2307,5363,56.98,43.02
ridley,corrin,861,650,1511,56.98,43.02
kazuya,banjokazooie,1408,1063,2471,56.98,43.02
drmario,corrin,535,404,939,56.98,43.02
metaknight,marth,331,250,581,56.97,43.03
olimar,marth,184,139,323,56.97,43.03
palutena,ganondorf,2530,1912,4442,56.96,43.04
minmin,ridley,1102,833,1935,56.95,43.05
richter,pichu,369,279,648,56.94,43.06
zelda,rosalina,513,388,901,56.94,43.06
simon,ganondorf,271,205,476,56.93,43.07
kingdedede,captainfalcon,3232,2445,5677,56.93,43.07
ryu,hero,559,423,982,56.92,43.08
snake,darkpit,1576,1193,2769,56.92,43.08
duckhunt,kirby,572,433,1005,56.92,43.08
palutena,shulk,2006,1519,3525,56.91,43.09
snake,mario,4224,3199,7423,56.90,43.10
villager,bowser,1183,896,2079,56.90,43.10
drmario,sheik,297,225,522,56.90,43.10
ryu,jigglypuff,491,372,863,56.89,43.11
peach,lucas,747,566,1313,56.89,43.11
darksamus,daisy,161,122,283,56.89,43.11
samus,darkpit,962,729,1691,56.89,43.11
olimar,pit,157,119,276,56.88,43.12
zelda,villager,624,473,1097,56.88,43.12
donkeykong,cloud,4680,3548,8228,56.88,43.12
hero,lucina,1605,1217,2822,56.87,43.13
rob,cloud,5943,4507,10450,56.87,43.13
samus,younglink,1730,1312,3042,56.87,43.13
kazuya,olimar,414,314,728,56.87,43.13
minmin,zelda,1685,1278,2963,56.87,43.13
drmario,isabelle,539,409,948,56.86,43.14
ridley,joker,2808,2131,4939,56.85,43.15
palutena,lucina,3783,2871,6654,56.85,43.15
miibrawler,mewtwo,531,403,934,56.85,43.15
sonic,chrom,921,699,1620,56.85,43.15
kingdedede,chrom,909,690,1599,56.85,43.15
miiswordfighter,wolf,1030,782,1812,56.84,43.16
drmario,pichu,457,347,804,56.84,43.16
terry,sephiroth,2456,1865,4321,56.84,43.16
ken,terry,1913,1453,3366,56.83,43.17
yoshi,pichu,1252,951,2203,56.83,43.17
piranhaplant,jigglypuff,1356,1030,2386,56.83,43.17
bowser,corrin,1964,1492,3456,56.83,43.17
mario,jigglypuff,2530,1922,4452,56.83,43.17
olimar,sephiroth,408,310,718,56.82,43.18
greninja,byleth,1579,1200,2779,56.82,43.18
simon,miiswordfighter,125,95,220,56.82,43.18
samus,joker,4635,3523,8158,56.82,43.18
rob,villager,1138,865,2003,56.81,43.19
bayonetta,darksamus,709,539,1248,56.81,43.19
peach,mewtwo,455,346,801,56.80,43.20
hero,marth,689,524,1213,56.80,43.20
miigunner,sephiroth,522,397,919,56.80,43.20
iceclimbers,pokemontrainer,948,721,1669,56.80,43.20
ike,pikachu,1889,1437,3326,56.79,43.21
miiswordfighter,bowserjr,393,299,692,56.79,43.21
greninja,random,368,280,648,56.79,43.21
sonic,darkpit,1100,837,1937,56.79,43.21
pacman,ridley,1138,866,2004,56.79,43.21
ryu,zelda,519,395,914,56.78,43.22
inkling,roy,2659,2024,4683,56.78,43.22
lucas,kirby,1253,954,2207,56.77,43.23
diddykong,sora,1398,1065,2463,56.76,43.24
megaman,daisy,231,176,407,56.76,43.24
duckhunt,marth,294,224,518,56.76,43.24
toonlink,byleth,1000,762,1762,56.75,43.25
hero,isabelle,1072,817,1889,56.75,43.25
chrom,random,185,141,326,56.75,43.25
ness,pichu,1438,1096,2534,56.75,43.25
mrgameandwatch,ganondorf,1460,1113,2573,56.74,43.26
robin,miiswordfighter,421,321,742,56.74,43.26
drmario,mewtwo,375,286,661,56.73,43.27
miigunner,olimar,135,103,238,56.72,43.28
megaman,captainfalcon,1194,911,2105,56.72,43.28
duckhunt,iceclimbers,308,235,543,56.72,43.28
kingdedede,shulk,1097,837,1934,56.72,43.28
ryu,yoshi,1127,860,1987,56.72,43.28
shulk,roy,1288,983,2271,56.72,43.28
kazuya,captainfalcon,3021,2306,5327,56.71,43.29
fox,sheik,710,542,1252,56.71,43.29
ken,ganondorf,947,723,1670,56.71,43.29
kazuya,joker,4211,3215,7426,56.71,43.29
villager,sheik,203,155,358,56.70,43.30
rob,roy,3905,2982,6887,56.70,43.30
bayonetta,richter,538,411,949,56.69,43.31
hero,jigglypuff,1860,1421,3281,56.69,43.31
minmin,mrgameandwatch,1996,1525,3521,56.69,43.31
robin,donkeykong,1475,1127,2602,56.69,43.31
greninja,chrom,687,525,1212,56.68,43.32
littlemac,random,603,461,1064,56.67,43.33
ryu,miibrawler,344,263,607,56.67,43.33
steve,yoshi,4159,3180,7339,56.67,43.33
ness,roy,3259,2492,5751,56.67,43.33
shulk,random,238,182,420,56.67,43.33
pokemontrainer,lucario,1110,849,1959,56.66,43.34
wiifittrainer,lucario,502,384,886,56.66,43.34
pacman,younglink,1485,1136,2621,56.66,43.34
isabelle,pichu,528,404,932,56.65,43.35
bowser,pyra,4305,3294,7599,56.65,43.35
bowserjr,captainfalcon,1695,1297,2992,56.65,43.35
richter,duckhunt,362,277,639,56.65,43.35
richter,pit,230,176,406,56.65,43.35
robin,ganondorf,1001,766,1767,56.65,43.35
steve,shulk,1308,1001,2309,56.65,43.35
wario,sephiroth,1074,822,1896,56.65,43.35
bayonetta,zelda,1513,1158,2671,56.65,43.35
luigi,diddykong,2128,1629,3757,56.64,43.36
ridley,incineroar,1630,1248,2878,56.64,43.36
snake,inkling,3902,2988,6890,56.63,43.37
lucario,sheik,222,170,392,56.63,43.37
kazuya,chrom,888,680,1568,56.63,43.37
duckhunt,luigi,961,736,1697,56.63,43.37
bayonetta,samus,2162,1656,3818,56.63,43.37
zelda,sheik,517,396,913,56.63,43.37
miiswordfighter,isabelle,389,298,687,56.62,43.38
peach,byleth,949,727,1676,56.62,43.38
snake,olimar,830,636,1466,56.62,43.38
isabelle,random,261,200,461,56.62,43.38
miigunner,pokemontrainer,967,741,1708,56.62,43.38
kingdedede,pokemontrainer,3021,2315,5336,56.62,43.38
bowserjr,ganondorf,1024,785,1809,56.61,43.39
mario,lucario,857,657,1514,56.61,43.39
wario,pit,420,322,742,56.60,43.40
wiifittrainer,pacman,1629,1249,2878,56.60,43.40
rob,sonic,4680,3589,8269,56.60,43.40
olimar,villager,176,135,311,56.59,43.41
ryu,captainfalcon,816,626,1442,56.59,43.41
greninja,sora,1182,907,2089,56.58,43.42
samus,pikachu,2218,1702,3920,56.58,43.42
robin,captainfalcon,1853,1422,3275,56.58,43.42
zelda,link,2249,1726,3975,56.58,43.42
samus,incineroar,2026,1555,3581,56.58,43.42
steve,kingdedede,3223,2474,5697,56.57,43.43
bowserjr,mrgameandwatch,1261,968,2229,56.57,43.43
simon,miigunner,99,76,175,56.57,43.43
miibrawler,joker,1864,1431,3295,56.57,43.43
link,random,508,390,898,56.57,43.43
kazuya,sephiroth,2205,1693,3898,56.57,43.43
toonlink,rosalina,362,278,640,56.56,43.44
iceclimbers,wolf,1108,851,1959,56.56,43.44
richter,bowser,1195,918,2113,56.55,43.45
snake,greninja,2697,2072,4769,56.55,43.45
wiifittrainer,sora,928,713,1641,56.55,43.45
simon,fox,298,229,527,56.55,43.45
kirby,roy,1444,1110,2554,56.54,43.46
miigunner,inkling,722,555,1277,56.54,43.46
inkling,lucario,882,678,1560,56.54,43.46
richter,roy,735,565,1300,56.54,43.46
snake,pichu,1185,911,2096,56.54,43.46
wario,piranhaplant,796,612,1408,56.53,43.47
duckhunt,falco,1022,786,1808,56.53,43.47
ryu,byleth,667,513,1180,56.53,43.47
pacman,lucas,1656,1274,2930,56.52,43.48
greninja,lucario,664,511,1175,56.51,43.49
wario,joker,2935,2259,5194,56.51,43.49
younglink,darkpit,669,515,1184,56.50,43.50
pit,lucario,226,174,400,56.50,43.50
peach,kirby,613,472,1085,56.50,43.50
shulk,sephiroth,809,623,1432,56.49,43.51
sonic,littlemac,2206,1699,3905,56.49,43.51
bowser,cloud,5991,4616,10607,56.48,43.52
diddykong,jigglypuff,1591,1226,2817,56.48,43.52
rob,pacman,3302,2545,5847,56.47,43.53
sora,daisy,323,249,572,56.47,43.53
robin,bowser,2236,1724,3960,56.46,43.54
bowser,random,743,573,1316,56.46,43.54
zelda,random,459,354,813,56.46,43.54
miigunner,chrom,258,199,457,56.46,43.54
littlemac,pit,560,432,992,56.45,43.55
miigunner,mario,687,530,1217,56.45,43.55
toonlink,pikachu,1305,1007,2312,56.44,43.56
inkling,captainfalcon,3400,2624,6024,56.44,43.56
duckhunt,rosalina,241,186,427,56.44,43.56
wiifittrainer,wolf,2695,2080,4775,56.44,43.56
kingdedede,cloud,4024,3106,7130,56.44,43.56
daisy,inkling,452,349,801,56.43,43.57
isabelle,metaknight,422,326,748,56.42,43.58
metaknight,cloud,1425,1101,2526,56.41,43.59
yoshi,lucas,2375,1835,4210,56.41,43.59
olimar,wario,396,306,702,56.41,43.59
ike,miibrawler,916,708,1624,56.40,43.60
kazuya,wario,1309,1012,2321,56.40,43.60
daisy,sheik,150,116,266,56.39,43.61
ryu,inkling,817,632,1449,56.38,43.62
banjokazooie,pikachu,1639,1268,2907,56.38,43.62
donkeykong,wolf,3592,2779,6371,56.38,43.62
ryu,kirby,588,455,1043,56.38,43.62
drmario,peach,460,356,816,56.37,43.63
luigi,inkling,2824,2186,5010,56.37,43.63
simon,captainfalcon,372,288,660,56.36,43.64
zelda,younglink,1450,1123,2573,56.35,43.65
hero,random,448,347,795,56.35,43.65
ken,kirby,732,567,1299,56.35,43.65
wiifittrainer,incineroar,1386,1074,2460,56.34,43.66
ike,iceclimbers,640,496,1136,56.34,43.66
yoshi,byleth,3165,2453,5618,56.34,43.66
duckhunt,kingdedede,894,693,1587,56.33,43.67
iceclimbers,captainfalcon,983,762,1745,56.33,43.67
greninja,mewtwo,792,614,1406,56.33,43.67
megaman,pichu,414,321,735,56.33,43.67
zelda,ness,3277,2541,5818,56.33,43.67
sonic,mewtwo,993,770,1763,56.32,43.68
jigglypuff,lucina,2532,1964,4496,56.32,43.68
wiifittrainer,kirby,959,744,1703,56.31,43.69
kingkrool,chrom,875,679,1554,56.31,43.69
wiifittrainer,iceclimbers,469,364,833,56.30,43.70
ken,roy,1215,943,2158,56.30,43.70
fox,corrin,1198,930,2128,56.30,43.70
